bank,tahun,kredit
bank persero,2002,25254.25
bank pemerintah daerah,2002,12374.16667
bank swasta nasional,2002,23673.58333
bank asing dan bank campuran,2002,5165.5
bank perkreditan rakyat,2002,1341.916667
bank persero,2003,32792.66667
bank pemerintah daerah,2003,15756.91667
bank swasta nasional,2003,35486.25
bank asing dan bank campuran,2003,7098.166667
bank perkreditan rakyat,2003,2365.166667
bank persero,2004,46247.41667
bank pemerintah daerah,2004,21196.83333
bank swasta nasional,2004,49331.58333
bank asing dan bank campuran,2004,9465.833333
bank perkreditan rakyat,2004,3706.166667
bank persero,2005,64472.41667
bank pemerintah daerah,2005,27246.41667
bank swasta nasional,2005,74756.75
bank asing dan bank campuran,2005,13942.75
bank perkreditan rakyat,2005,5351.083333
bank persero,2006,71756.33333
bank pemerintah daerah,2006,34362.75
bank swasta nasional,2006,87104.5
bank asing dan bank campuran,2006,18733.75
bank perkreditan rakyat,2006,5948
bank persero,2007,82558.58333
bank pemerintah daerah,2007,45413.16667
bank swasta nasional,2007,100292.9167
bank asing dan bank campuran,2007,21746.08333
bank perkreditan rakyat,2007,7376.666667
bank persero,2008,109188.75
bank pemerintah daerah,2008,59477.16667
bank swasta nasional,2008,133471.75
bank asing dan bank campuran,2008,26055
bank perkreditan rakyat,2008,9869
bank persero,2009,136872.4167
bank pemerintah daerah,2009,76211.5
bank swasta nasional,2009,151734.1667
bank asing dan bank campuran,2009,28811.33333
bank perkreditan rakyat,2009,11482.91667
bank persero,2010,173863.8825
bank pemerintah daerah,2010,89288.33417
bank swasta nasional,2010,192876.95
bank asing dan bank campuran,2010,30979.63083
bank perkreditan rakyat,2010,13756.96
bank persero,2011,212978.0692
bank pemerintah daerah,2011,109340.97
bank swasta nasional,2011,246370.5517
bank asing dan bank campuran,2011,31818.23833
bank perkreditan rakyat,2011,17289.10417
bank persero,2012,246542.34
bank pemerintah daerah,2012,133643.1842
bank swasta nasional,2012,306372.315
bank asing dan bank campuran,2012,33172.4125
bank perkreditan rakyat,2012,21664.51833
bank persero,2013,301899.025
bank pemerintah daerah,2013,164562.9583
bank swasta nasional,2013,353719.7725
bank asing dan bank campuran,2013,33339.0525
bank perkreditan rakyat,2013,26753.62917
bank persero,2014,345656.0933
bank pemerintah daerah,2014,191721.6858
bank swasta nasional,2014,384371.63
bank asing dan bank campuran,2014,34804.7275
bank perkreditan rakyat,2014,32995.44
bank persero,2015,391620.9092
bank pemerintah daerah,2015,218272.3258
bank swasta nasional,2015,408862.78
bank asing dan bank campuran,2015,36645.39083
bank perkreditan rakyat,2015,37140.83583
bank persero,2016,442460.0083
bank pemerintah daerah,2016,242341.3883
bank swasta nasional,2016,421149.4025
bank asing dan bank campuran,2016,37574.8525
bank perkreditan rakyat,2016,40904.81333
bank persero,2017,509151.2576
bank pemerintah daerah,2017,261427.9611
bank swasta nasional,2017,450912.2366
bank asing dan bank campuran,2017,34808.63703
bank perkreditan rakyat,2017,45262.01613
bank persero,2018,594738.3342
bank pemerintah daerah,2018,282937.8493
bank swasta nasional,2018,479631.239
bank asing dan bank campuran,2018,31326.65918
bank perkreditan rakyat,2018,49000.18943
bank persero,2019,657926.0308
bank pemerintah daerah,2019,305185.0743
bank swasta nasional,2019,507054.6847
bank asing dan bank campuran,2019,31585.45664
bank perkreditan rakyat,2019,53857.42523
bank persero,2020,683296.0771
bank pemerintah daerah,2020,330650.7777
bank swasta nasional,2020,498157.2126
bank asing dan bank campuran,2020,29172.69828
bank perkreditan rakyat,2020,56463.42257
bank persero,2021,701028.3803
bank pemerintah daerah,2021,348022.4016
bank swasta nasional,2021,495838.6005
bank asing dan bank campuran,2021,23087.43914
bank perkreditan rakyat,2021,57816.64227
bank persero,2022,738990.4074
bank pemerintah daerah,2022,364419.3909
bank swasta nasional,2022,555987.7141
bank asing dan bank campuran,2022,23661.81473
bank perkreditan rakyat,2022,61688.95393
