bank,tahun,kredit
bank persero,2002,42737.00
bank pemerintah daerah,2002,4914.00
bank swasta nasional,2002,50028.00
bank asing dan bank campuran,2002,14786.00
bank perkreditan rakyat,2002,3153.00
bank persero,2003,56323.00
bank pemerintah daerah,2003,7342.00
bank swasta nasional,2003,69532.00
bank asing dan bank campuran,2003,14541.00
bank perkreditan rakyat,2003,4917.00
bank persero,2004,67758.00
bank pemerintah daerah,2004,9292.00
bank swasta nasional,2004,83388.00
bank asing dan bank campuran,2004,16668.00
bank perkreditan rakyat,2004,6409.00
bank persero,2005,82963.00
bank pemerintah daerah,2005,10965.00
bank swasta nasional,2005,112071.00
bank asing dan bank campuran,2005,25704.00
bank perkreditan rakyat,2005,8399.00
bank persero,2006,99347.00
bank pemerintah daerah,2006,12852.00
bank swasta nasional,2006,133638.00
bank asing dan bank campuran,2006,28626.00
bank perkreditan rakyat,2006,9132.00
bank persero,2007,117193.00
bank pemerintah daerah,2007,14778.00
bank swasta nasional,2007,160543.00
bank asing dan bank campuran,2007,30277.00
bank perkreditan rakyat,2007,9907.00
bank persero,2008,163344.00
bank pemerintah daerah,2008,18468.00
bank swasta nasional,2008,214115.00
bank asing dan bank campuran,2008,42113.00
bank perkreditan rakyat,2008,12243.00
bank persero,2009,214475.00
bank pemerintah daerah,2009,23729.00
bank swasta nasional,2009,232142.00
bank asing dan bank campuran,2009,44642.00
bank perkreditan rakyat,2009,13524.00
bank persero,2010,259962.00
bank pemerintah daerah,2010,27583.00
bank swasta nasional,2010,280358.00
bank asing dan bank campuran,2010,50408.00
bank perkreditan rakyat,2010,15867.00
bank persero,2011,309817.00
bank pemerintah daerah,2011,32342.00
bank swasta nasional,2011,344894.00
bank asing dan bank campuran,2011,51557.00
bank perkreditan rakyat,2011,18534.00
bank persero,2012,381432.00
bank pemerintah daerah,2012,40434.00
bank swasta nasional,2012,431381.00
bank asing dan bank campuran,2012,69803.00
bank perkreditan rakyat,2012,21862.00
bank persero,2013,446888.00
bank pemerintah daerah,2013,51236.00
bank swasta nasional,2013,526279.00
bank asing dan bank campuran,2013,91170.00
bank perkreditan rakyat,2013,25448.00
bank persero,2014,495232.00
bank pemerintah daerah,2014,57799.00
bank swasta nasional,2014,608975.00
bank asing dan bank campuran,2014,111046.00
bank perkreditan rakyat,2014,31864.00
bank persero,2015,548932.00
bank pemerintah daerah,2015,60315.00
bank swasta nasional,2015,671743.00
bank asing dan bank campuran,2015,129415.00
bank perkreditan rakyat,2015,35272.00
bank persero,2016,635623.00
bank pemerintah daerah,2016,62904.00
bank swasta nasional,2016,730296.00
bank asing dan bank campuran,2016,141657.00
bank perkreditan rakyat,2016,37540.00
bank persero,2017,709549.00
bank pemerintah daerah,2017,67388.00
bank swasta nasional,2017,781685.00
bank asing dan bank campuran,2017,131385.00
bank perkreditan rakyat,2017,41095.00
bank persero,2018,769597.00
bank pemerintah daerah,2018,76533.00
bank swasta nasional,2018,872667.00
bank asing dan bank campuran,2018,145813.00
bank perkreditan rakyat,2018,45250.00
bank persero,2019,847812.00
bank pemerintah daerah,2019,82522.00
bank swasta nasional,2019,954871.00
bank asing dan bank campuran,2019,146942.00
bank perkreditan rakyat,2019,50768.00
bank persero,2020,865669.00
bank pemerintah daerah,2020,84624.00
bank swasta nasional,2020,940299.00
bank asing dan bank campuran,2020,132828.00
bank perkreditan rakyat,2020,54654.00
bank persero,2021,948259.00
bank pemerintah daerah,2021,88972.00
bank swasta nasional,2021,909423.00
bank asing dan bank campuran,2021,115110.00
bank perkreditan rakyat,2021,57123.00
bank persero,2022,1037127.00
bank pemerintah daerah,2022,103671.00
bank swasta nasional,2022,1002244.00
bank asing dan bank campuran,2022,128018.00
bank perkreditan rakyat,2022,63587.00
