no,provinsi,tahun_2011,tahun_2012,tahun_2013,tahun_2014,tahun_2015,tahun_2016,tahun_2017,tahun_2018,tahun_2019,tahun_2020,tahun_2021,tahun_2022
1,Aceh,22704.8,23099.13,23228.59,23129.04,22524.31,22835.29,23362.9,24013.79,24842.3,25018.28,25357.7,26063.5
2,Sumatera Utara,26711.24,28036.88,29339.21,30477.07,31637.41,32885.09,34183.58,35570.5,36853.59,36175.16,36666.2,37943.83
3,Sumatera Barat,22638.75,23744.01,24857.64,25982.83,27080.76,28164.93,29312.17,30470.8,31427.29,30696.21,31360.79,32377.51
4,Riau,71637.89,72396.34,72297.05,72390.88,70769.78,70569.36,70740.43,70736.77,72509.14,76884.74,77995.51,80057.79
5,Jambi,30856.66,32417.72,34012.1,35878.09,36753.52,37728.8,38833.87,40025.52,41812.35,41926.04,42906.66,44536.39
6,Sumatera Selatan,27157.98,28577.89,29656.76,30636.27,31549.3,32699.5,34059.71,35659.82,37125.75,37323.24,38172.97,39676.95
7,Bangka Belitung,30212.18,31172.42,32081.3,32859.64,33480.38,34132.87,34933.52,35762.04,37173.14,36307.61,37585.5,38674.15
8,Bengkulu,17282.27,18143.51,18919.3,19626.72,20302.48,21039.84,21751.64,22494.84,23504.53,23105.92,23539.17,24230.02
9,Lampung,20739.31,21794.83,22770.68,23647.27,24581.78,25568.57,26614.88,27736.26,28894.5,26746.64,27193.59,28064.39
10,Banten,26548.94,27716.47,28910.66,29846.64,30813.03,31781.56,32947.6,34183.75,35913.9,37165.16,38217.8,39515.38
11,D.K.I. Jakarta,117672.92,123962.38,130060.31,136312.34,142913.61,149831.9,157636.6,165768.99,174812.51,170089.02,174941.72,182908.69
12,Jawa Barat,21976.53,23036,24118.31,24966.86,25845.5,26923.51,27970.92,29160.06,30413.37,30180.54,30907.59,32182.15
13,Jawa Tengah,20053.8,20950.62,21844.87,22819.16,23887.06,24959.49,26088.91,27285.25,28695.92,26483.68,27144.18,28362.24
14,D.I. Yogyakarta,19387.45,20183.88,21037.7,21867.9,22688.36,23565.68,24533.8,25776.31,27008.68,27754.47,28918.82,30011.22
15,Jawa Timur,27864.26,29508.4,31092.04,32703.39,34271.81,35970.78,37724.29,39579.95,41512.2,39686.19,40821.89,42717.44
16,Bali,25265.96,26689.58,28129.67,29668.9,31093.61,32689.09,34129.84,35896.35,37297.5,34216.52,32975.85,34160.65
17,Nusa Tenggara Barat,14705.77,14276.69,14809.84,15369.94,18475.14,19305.79,19091.26,18020.5,18219.11,17583.11,17706.47,18648.19
18,Nusa Tenggara Timur,9675.89,10030.98,10396.76,10742.32,11087.91,11468.79,11863.41,12273.85,12761.98,12960.95,13092.81,13298.85
19,Kalimantan Barat,20227.16,21062.22,21971.93,22712.65,23456.52,24308.85,25198.01,26110.57,27199.78,24953.61,25811.97,26774.75
20,Kalimantan Tengah,26588.9,27749.01,29106.4,30216.73,31619.18,32899.58,34370.63,35548.43,37870.47,37148.73,37925.62,39799.98
21,Kalimantan Selatan,24567.52,25547.77,26423.9,27220.27,27786.68,28540.05,29578.79,30614.85,31611.46,32212.3,32849.02,34035.52
22,Kalimantan Timur,121196.23,124501.88,133868.68,133086.11,128603.13,125385.5,126625.19,127354.19,134410.55,125764.53,127208.24,131136.62
23,Sulawesi Utara,23812.97,25145.96,26445.86,27805.52,29196.47,30679.97,32297.08,33911.61,35687.44,33670.44,34787.33,36385.08
24,Gorontalo,15687.65,16650.27,17639.12,18622.44,19474.13,20427.46,21477.78,22538.55,24167.56,24313.38,24649.73,25392.4
25,Sulawesi Tengah,21105.7,22724.47,24490.98,25316.27,28778.64,31151.08,32860.48,39049.35,42054.5,45052.32,49587.96,56285.05
26,Sulawesi Selatan,22769.19,24507.17,26083.42,27749.47,29435.92,31302.53,33234.11,35243.64,37474.29,36246.26,37572.54,39115.98
27,Sulawesi Tenggara,23338.07,25489.79,26815.36,27896.05,29202.7,30476.39,31894.42,33278.66,35309.9,35708.6,36581.67,37998.09
28,Maluku Utara,14994.63,15691.01,16332.22,16869.52,17533.78,18177.3,19192.97,20309.45,21524.99,21915.03,25199.92,30506.5
29,Maluku,12477.19,13129.11,13572.07,14219.62,14740.38,15321.18,15942.45,16607.02,17556.86,16688.12,17020.46,17708.13
30,Papua,36383.24,36280.03,38621.36,39271.88,41376.97,44342.14,45577.05,48069.41,40203.42,32108.51,36431.25,39131.31
31,Papua Barat,54539.86,55047.84,57581.36,59142.59,60064.13,61242.01,62169.96,64499.45,64418.52,54487.7,52980.01,52833.61
32,Sulawesi Barat,16023.45,17169.06,18008.81,19232.05,20250.51,21067.91,22001.01,22953.08,24163.56,22666.22,22896.2,23073.25
33,Kepulauan Riau,68024.21,70930,73743.33,76313.81,78625.43,80295.6,79743.68,81206.2,81138.52,85012.58,85425.89,87238.26
34,Kalimantan Utara,,,74106.93,77152.6,76823.46,76635.46,78918.57,80204.84,88299.52,86823.59,88510.41,91424.16
35,Nasional,30112.37,31519.93,32874.76,34127.72,35161.89,36468.62,37851.37,39340.56,41021.61,39778.68,40780.31,42463.78
